id,glo_food_type_id,name ,for_loss,for_maintain,size,cuisine,quantity,calarie,serving,weight,totaldietaryfibre,fat,protein,carbohydrates,carb_type,glycemic_index,carb_perc,fat_perc,protein_perc,cholestrol,sodium,calcium,iron,sugar,vitaminc,insolubledietaryfibre,insolublefibre,solubledietaryfibre,totaldietaryfibrebackup,totalmonounsaturatedfattyacids,totalpolyunsaturatedfattyacids,totalsaturatedfattyacids,totalsaturatedfattyacidsbackup,totaltransfat,high_on_which_macronutrient,raw,dish,m1,m2,m3,m4,m5_loss,m5_gain,m5_stable,summer,winter,autumn,dessert,snaks,nuts,drink,salad,yogurt,solid_meal,fruit,pulses,non_veg_gravy_items,grains_cereals,vegetable,dairy,poultary,seafood,pork,meat,lamb_mutton,beef,other_meat,egg,pulse,cereal_grains,wheat,fruits,vegetables,oils_and_fats,sugars,nut,diabetes,hyper_tension,osteoporosis,lactose_intolerance,gluten_intolerance,anaemia,hypothyroidism,pcod,reciepe,image_name,status_id
1,0,Aalu Lobiya Phali Sabji,1,0,Katori,Generic,1,209.81,1,150,2.64,9.35,4.02,28.73,0,0,0,0,0,0,1432.02,68.38,3.19,0,27.58,0,0,0,0,3.46,3.04,1.81,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1.jpg,1
2,0,Aam Ka Panna,1,0,Glass,Generic,1,214.25,1,250,2,0,0.5,52.75,0,0,0,0,0,0,33.75,17.5,0.25,0,2.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,,2.jpg,1
3,0,Aam Ras,0,0,Glass,Generic,1,224.25,1,250,2.25,3.75,3.25,44.25,0,0,0,0,0,15.5,90.5,117,1.75,0,19.75,0,0,0,2.25,0,0,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,,3.jpg,1
4,0,Ajwain Ka Parantha,0,0,Pieces,Generic,2,347.1,1,100,16.9,5.08,13.02,62.35,0,0,0,0,0,0,17.45,296.64,6.21,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,,6.jpg,1
5,0,Ajwain Parantha,1,0,Piece,Generic,1,173.55,1,50,8.45,2.54,6.51,31.17,0,0,0,0,0,0,8.72,148.32,3.1,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,,1483709411_5.jpg,1
6,0,Almond,1,0,Pieces,Generic,10,65.5,1,10,1.22,5.89,2.08,1.05,0,0,0,0,0,0,0,23,0.51,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,7.jpg,1
7,\N,Aloo And Corn Cutlet,0,0,Pieces,Generic,2,284.37,1,160,3.42,14.69,6.2,33.2,0,0,0,0,0,0,467.42,26.77,1.48,0,15.38,0,0,0,0,0.14,0.16,12.15,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,,1483709349_7.jpg,1
8,0,Aloo Bathua Subzi,1,0,Katori,Generic,1,110.08,1,150,1.45,5.47,4.75,10.66,0,0,0,0,0,0,268.03,173.44,5.36,0,43.62,0,0,0,0,2.67,1.56,0.57,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1480202783_10.jpg,1
9,0,Aloo Bhindi Masala Sabji,1,0,Katori,Generic,1,117.24,1,100,3.86,5.52,2.31,14.74,0,0,0,0,0,0,449.36,72.68,1.06,0,23.64,0,0,0,0,0.02,0.04,4.41,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,,1483702771_9.jpg,1
10,0,Aloo Brinjal Fry Sabji,1,0,Katori,Generic,1,111.81,1,100,3.42,5.02,1.87,15.17,0,0,0,0,0,0,595.83,26.41,0.8,0,12.79,0,0,0,0,0.02,0.04,3.97,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,,1483702801_10.jpg,1
